Unitid,StudentId,CreditsEarned,DegreeLevel,MajorNumber,MajorCip,DistanceEd,DistanceEd31,DistanceEd32,Birthdate,Age,RaceEthnicity,Sex,GenderDetail
999999,100,144,2,1,9.01,2,NA,NA,NA,NA,1,1,3
999999,104,136,5,1,9.01,2,NA,NA,3/15/2002,16.16974675,1,2,4
999999,108,150,5,1,9.01,2,NA,NA,3/15/1999,19.17043121,1,2,2
999999,112,144,7,1,9.01,2,NA,NA,3/15/1999,19.17043121,1,2,2
999999,116,144,17,1,9.01,2,NA,NA,3/15/1999,19.17043121,1,1,1
999999,120,144,2,1,9.01,2,NA,NA,3/15/1999,19.17043121,1,1,1
999999,101,136,3,1,9.9999,2,NA,NA,3/20/2002,16.15605749,2,1,3
999999,105,150,5,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,1,1
999999,109,144,5,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,2,2
999999,113,136,7,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,2,2
999999,117,150,18,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,2,2
999999,121,144,3,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,1,1
999999,125,144,5,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,1,1
999999,129,144,5,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,2,2
999999,137,150,18,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,2,2
999999,141,144,3,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,1,1
999999,145,136,5,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,1,1
999999,149,150,5,1,9.9999,2,NA,NA,3/20/1999,19.15674196,2,2,2
999999,153,144,7,1,9.9999,2,NA,NA,10/20/1999,18.57084189,2,2,2
999999,157,144,18,1,9.9999,2,NA,NA,10/20/1999,18.57084189,2,2,2
999999,133,144,7,2,31.0101,2,NA,NA,3/20/1999,19.15674196,2,2,2
999999,137,136,18,2,31.0101,2,NA,NA,3/20/1999,19.15674196,2,2,2
999999,141,150,3,2,31.0101,2,NA,NA,3/20/1999,19.15674196,2,1,1
999999,145,144,5,2,31.0101,2,NA,NA,3/20/1999,19.15674196,2,1,1
999999,149,136,5,2,31.0101,2,NA,NA,3/20/1999,19.15674196,2,2,2
999999,153,150,7,2,31.0101,2,NA,NA,10/20/1999,18.57084189,2,2,2
999999,157,144,18,2,31.0101,2,NA,NA,10/20/1999,18.57084189,2,2,2
999999,141,144,3,2,16.0102,1,NA,NA,3/20/1999,19.15674196,2,1,1
999999,145,144,5,2,16.0102,2,NA,NA,3/20/1999,19.15674196,2,1,1
999999,149,136,5,2,16.0102,2,NA,NA,3/20/1999,19.15674196,2,2,2
999999,153,150,7,1,52.0201,3,1,0,10/20/1999,18.57084189,2,2,2
999999,157,144,7,1,52.0201,3,1,0,10/20/1999,18.57084189,2,2,2
999999,102,136,3,1,9.01,2,NA,NA,3/15/2002,16.16974675,6,2,3
999999,106,150,5,1,9.01,2,NA,NA,3/15/1999,19.17043121,6,1,1
999999,110,144,6,1,9.01,2,NA,NA,3/15/1999,19.17043121,6,1,1
999999,150,144,6,1,9.01,2,NA,NA,10/15/1999,18.58453114,8,1,1
999999,154,136,7,1,9.01,2,NA,NA,10/15/1999,18.58453114,8,2,2
999999,158,150,18,1,9.01,2,NA,NA,10/15/1999,18.58453114,8,2,2
999999,134,144,7,2,31.0101,2,NA,NA,3/15/1999,19.17043121,8,2,2
999999,138,136,18,2,31.0101,2,NA,NA,3/15/1999,19.17043121,8,2,2
999999,142,150,3,2,31.0101,2,NA,NA,3/15/1999,19.17043121,8,2,2
999999,146,144,5,2,31.0101,2,NA,NA,3/15/1999,19.17043121,8,1,1
999999,154,144,7,2,31.0101,2,NA,NA,10/15/1999,18.58453114,8,2,2
999999,158,144,18,2,31.0101,2,NA,NA,10/15/1999,18.58453114,8,2,2
999999,142,136,3,2,16.0102,1,NA,NA,3/15/1999,19.17043121,8,2,2
999999,146,150,5,2,16.0102,2,NA,NA,3/15/1999,19.17043121,8,1,1
999999,154,144,7,1,52.0201,3,1,0,10/15/1999,18.58453114,8,2,2
999999,158,136,7,1,52.0201,3,1,0,10/15/1999,18.58453114,8,2,2
999999,103,150,5,1,9.9999,2,NA,NA,3/20/2002,16.15605749,9,2,4
999999,147,144,5,1,9.9999,2,NA,NA,3/20/1999,19.15674196,9,2,2
999999,151,136,7,1,9.9999,2,NA,NA,10/20/1999,18.57084189,9,1,1
999999,155,150,17,1,9.9999,2,NA,NA,10/20/1999,18.57084189,7,1,1
999999,159,144,19,1,9.9999,2,NA,NA,10/20/1999,18.57084189,7,2,2
999999,131,136,7,2,31.0101,2,NA,NA,3/20/1999,19.15674196,7,1,1
999999,159,144,19,2,31.0101,2,NA,NA,10/20/1999,18.57084189,7,2,2
999999,143,136,5,2,16.0102,2,NA,NA,3/20/1999,19.15674196,7,2,2
999999,147,150,5,2,16.0102,2,NA,NA,3/20/1999,19.15674196,7,2,2
999999,151,144,7,1,52.0201,3,1,0,10/20/1999,18.57084189,7,1,1
999999,155,144,7,1,52.0201,3,1,0,10/20/1999,18.57084189,7,1,1
999999,159,144,7,1,52.0201,3,1,0,10/20/1999,18.57084189,7,2,2
